transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,state,kyc_status
TXN000001,INV01500,120503,2019-09-17,Redemption,71000.00,Rajasthan,Pending
TXN000002,INV01500,120841,2023-12-14,SIP,11500.00,Tamil Nadu,Verified
TXN000003,INV01500,119551,2016-08-23,SIP,7000.00,Karnataka,Pending
TXN000004,INV01500,119551,2022-10-23,Redemption,57000.00,Telangana,Verified
TXN000005,INV01501,119551,2020-07-25,SIP,19500.00,Uttar Pradesh,Verified
TXN000006,INV01501,120841,2017-07-24,Redemption,83000.00,Delhi,Pending
TXN000007,INV01501,119092,2018-06-14,SIP,1500.00,Delhi,Verified
TXN000008,INV01502,125497,2017-03-13,SIP,3500.00,Maharashtra,Verified
TXN000009,INV01502,119092,2024-07-16,Lumpsum,10000.00,Punjab,Pending
TXN000010,INV01503,120841,2020-05-09,Redemption,138000.00,Rajasthan,Verified
TXN000011,INV01504,125497,2024-11-28,SIP,8500.00,Uttar Pradesh,Verified
TXN000012,INV01504,125497,2020-05-04,Redemption,291000.00,Maharashtra,Pending
TXN000013,INV01504,125497,2025-12-30,SIP,23500.00,Kerala,Verified
TXN000014,INV01504,119092,2018-02-18,Lumpsum,100000.00,Karnataka,Verified
TXN000015,INV01504,119551,2023-09-02,SIP,17500.00,Uttar Pradesh,Verified
TXN000016,INV01505,125497,2021-10-06,SIP,2000.00,Telangana,Verified
TXN000017,INV01506,125497,2023-10-28,Redemption,242000.00,Maharashtra,Verified
TXN000018,INV01507,119551,2015-03-20,SIP,19000.00,Tamil Nadu,Verified
TXN000019,INV01507,120503,2023-10-12,Redemption,190000.00,Gujarat,Verified
TXN000020,INV01507,125497,2025-08-27,Redemption,34000.00,Telangana,Verified
TXN000021,INV01507,120503,2021-07-26,Redemption,150000.00,Delhi,Verified
TXN000022,INV01507,118632,2020-09-07,Lumpsum,95000.00,Delhi,Pending
TXN000023,INV01508,118632,2025-06-07,SIP,18000.00,Telangana,Pending
TXN000024,INV01508,119551,2024-12-28,Redemption,91000.00,Karnataka,Verified
TXN000025,INV01508,119551,2019-12-08,Lumpsum,25000.00,Maharashtra,Verified
TXN000026,INV01508,118632,2017-01-19,Lumpsum,150000.00,Uttar Pradesh,Verified
TXN000027,INV01508,119551,2025-10-02,SIP,6500.00,Karnataka,Verified
TXN000028,INV01508,119092,2022-04-15,Redemption,14000.00,Delhi,Verified
TXN000029,INV01508,119551,2026-06-12,Lumpsum,85000.00,Rajasthan,Rejected
TXN000030,INV01508,118632,2024-05-10,Redemption,31000.00,Maharashtra,Verified
TXN000031,INV01509,120503,2020-06-12,SIP,2500.00,Delhi,Verified
TXN000032,INV01509,119092,2023-11-06,Lumpsum,65000.00,Gujarat,Verified
TXN000033,INV01510,119092,2020-07-31,SIP,2000.00,Maharashtra,Verified
TXN000034,INV01510,125497,2025-11-22,Lumpsum,200000.00,Uttar Pradesh,Verified
TXN000035,INV01510,120841,2014-09-26,SIP,10000.00,Maharashtra,Verified
TXN000036,INV01511,119092,2014-09-15,SIP,16500.00,Karnataka,Verified
TXN000037,INV01511,118632,2016-11-27,Lumpsum,295000.00,Karnataka,Verified
TXN000038,INV01512,119551,2025-04-29,Lumpsum,250000.00,Uttar Pradesh,Verified
TXN000039,INV01512,118632,2023-04-03,Lumpsum,70000.00,Rajasthan,Pending
TXN000040,INV01512,119092,2016-07-11,SIP,6500.00,Gujarat,Verified
TXN000041,INV01512,118632,2020-11-03,Lumpsum,75000.00,Gujarat,Verified
TXN000042,INV01512,119092,2025-05-22,Lumpsum,350000.00,Uttar Pradesh,Verified
TXN000043,INV01512,120503,2024-06-26,SIP,10500.00,Delhi,Verified
TXN000044,INV01512,120841,2022-01-02,Redemption,272000.00,Telangana,Verified
TXN000045,INV01513,120503,2016-07-30,SIP,12000.00,Maharashtra,Pending
TXN000046,INV01513,120503,2024-04-05,Lumpsum,95000.00,Delhi,Verified
TXN000047,INV01514,119551,2024-03-24,SIP,8000.00,Tamil Nadu,Verified
TXN000048,INV01514,120503,2025-09-08,Redemption,103000.00,Rajasthan,Verified
TXN000049,INV01514,119092,2022-07-06,SIP,23500.00,Kerala,Verified
TXN000050,INV01514,120503,2024-08-27,SIP,4000.00,Telangana,Verified
TXN000051,INV01514,120503,2014-01-04,Redemption,91000.00,Delhi,Verified
TXN000052,INV01514,119551,2017-06-10,Redemption,122000.00,Maharashtra,Pending
TXN000053,INV01514,119551,2016-08-01,Redemption,235000.00,Maharashtra,Verified
TXN000054,INV01514,118632,2023-04-09,SIP,19000.00,Telangana,Verified
TXN000055,INV01514,120841,2014-12-26,SIP,9000.00,Karnataka,Verified
TXN000056,INV01515,119092,2017-04-28,Lumpsum,205000.00,Maharashtra,Verified
TXN000057,INV01516,125497,2018-05-08,SIP,16000.00,Delhi,Verified
TXN000058,INV01517,119092,2024-03-08,SIP,22500.00,Maharashtra,Verified
TXN000059,INV01517,118632,2018-01-02,SIP,13000.00,Uttar Pradesh,Verified
TXN000060,INV01518,120841,2023-05-04,SIP,18000.00,Uttar Pradesh,Verified
TXN000061,INV01519,119551,2026-06-03,Redemption,37000.00,Kerala,Verified
TXN000062,INV01520,125497,2025-06-10,SIP,7000.00,Delhi,Verified
TXN000063,INV01520,119551,2021-06-16,Redemption,113000.00,Delhi,Verified
TXN000064,INV01520,120841,2018-05-30,SIP,19500.00,West Bengal,Verified
TXN000065,INV01520,120841,2021-11-11,SIP,20500.00,Tamil Nadu,Verified
TXN000066,INV01521,119092,2026-01-16,Lumpsum,245000.00,Karnataka,Verified
TXN000067,INV01522,125497,2025-07-02,SIP,19000.00,Rajasthan,Verified
TXN000068,INV01522,118632,2020-04-30,Redemption,87000.00,Punjab,Rejected
TXN000069,INV01522,119092,2017-04-26,Redemption,55000.00,Uttar Pradesh,Verified
TXN000070,INV01522,120841,2019-01-15,SIP,10500.00,West Bengal,Verified
TXN000071,INV01522,125497,2016-09-14,Lumpsum,190000.00,Uttar Pradesh,Verified
TXN000072,INV01523,118632,2018-07-20,Lumpsum,435000.00,Gujarat,Verified
TXN000073,INV01523,119092,2015-05-12,SIP,21000.00,Madhya Pradesh,Pending
TXN000074,INV01523,120503,2023-12-19,SIP,5000.00,Maharashtra,Verified
TXN000075,INV01523,118632,2023-09-22,Lumpsum,30000.00,Tamil Nadu,Verified
TXN000076,INV01523,120503,2015-02-13,SIP,3500.00,Maharashtra,Pending
TXN000077,INV01523,119092,2021-09-16,Lumpsum,330000.00,Kerala,Verified
TXN000078,INV01523,125497,2019-12-24,SIP,1500.00,Rajasthan,Pending
TXN000079,INV01524,119551,2015-09-15,SIP,4000.00,Karnataka,Verified
TXN000080,INV01525,119551,2015-05-05,Lumpsum,60000.00,Tamil Nadu,Verified
TXN000081,INV01525,118632,2016-03-20,SIP,6000.00,West Bengal,Verified
TXN000082,INV01525,125497,2017-09-29,Lumpsum,320000.00,West Bengal,Verified
TXN000083,INV01525,125497,2014-04-14,SIP,13000.00,Karnataka,Verified
TXN000084,INV01525,125497,2014-08-27,SIP,2500.00,Gujarat,Verified
TXN000085,INV01525,120503,2025-10-07,SIP,24000.00,West Bengal,Verified
TXN000086,INV01525,119551,2020-04-07,SIP,1000.00,Maharashtra,Verified
TXN000087,INV01526,120841,2013-09-15,SIP,1500.00,Telangana,Pending
TXN000088,INV01527,119551,2015-06-27,Lumpsum,355000.00,Karnataka,Verified
TXN000089,INV01528,118632,2014-03-29,SIP,14500.00,Maharashtra,Verified
TXN000090,INV01528,120503,2026-06-04,Lumpsum,205000.00,West Bengal,Verified
TXN000091,INV01528,119551,2015-06-26,SIP,15000.00,Maharashtra,Verified
TXN000092,INV01529,120503,2013-05-21,Lumpsum,30000.00,Maharashtra,Verified
TXN000093,INV01529,120841,2019-10-16,SIP,6500.00,Uttar Pradesh,Verified
TXN000094,INV01529,125497,2014-02-19,Lumpsum,115000.00,Maharashtra,Rejected
TXN000095,INV01529,119092,2020-01-25,SIP,16500.00,West Bengal,Verified
TXN000096,INV01530,120841,2023-10-15,Lumpsum,50000.00,Karnataka,Pending
TXN000097,INV01530,125497,2025-03-18,SIP,14000.00,Uttar Pradesh,Verified
TXN000098,INV01530,120503,2016-12-03,Redemption,219000.00,Rajasthan,Verified
TXN000099,INV01530,119551,2015-11-03,Redemption,290000.00,Maharashtra,Verified
TXN000100,INV01530,119092,2023-01-08,SIP,11500.00,Rajasthan,Pending
TXN000101,INV01530,125497,2017-04-10,SIP,15500.00,Karnataka,Verified
TXN000102,INV01530,125497,2026-05-29,SIP,3500.00,West Bengal,Verified
TXN000103,INV01530,119092,2024-04-10,SIP,9500.00,Karnataka,Verified
TXN000104,INV01530,118632,2018-05-13,Redemption,300000.00,Rajasthan,Verified
TXN000105,INV01531,119551,2022-02-19,Lumpsum,445000.00,Telangana,Verified
TXN000106,INV01532,119551,2018-01-20,SIP,23500.00,Tamil Nadu,Verified
TXN000107,INV01532,125497,2017-12-19,Lumpsum,450000.00,Karnataka,Verified
TXN000108,INV01532,120503,2017-03-27,SIP,12500.00,Maharashtra,Verified
TXN000109,INV01532,119551,2021-05-22,SIP,17000.00,Uttar Pradesh,Verified
TXN000110,INV01532,118632,2013-07-04,Lumpsum,245000.00,Maharashtra,Verified
TXN000111,INV01532,119551,2017-01-11,Lumpsum,180000.00,Uttar Pradesh,Verified
TXN000112,INV01532,120841,2021-07-28,SIP,1500.00,Uttar Pradesh,Verified
TXN000113,INV01532,119551,2018-02-01,SIP,21000.00,Delhi,Pending
TXN000114,INV01532,120841,2018-07-31,SIP,5500.00,Delhi,Verified
TXN000115,INV01532,125497,2024-03-12,SIP,3500.00,Rajasthan,Verified
TXN000116,INV01532,125497,2014-08-16,SIP,13000.00,Maharashtra,Rejected
TXN000117,INV01533,125497,2019-03-25,Redemption,15000.00,Rajasthan,Pending
TXN000118,INV01533,125497,2022-10-26,SIP,22000.00,Maharashtra,Verified
TXN000119,INV01533,125497,2015-08-01,SIP,3500.00,Maharashtra,Verified
TXN000120,INV01533,119551,2013-06-01,SIP,5000.00,Telangana,Verified
TXN000121,INV01534,120841,2020-01-28,SIP,25000.00,Tamil Nadu,Verified
TXN000122,INV01535,120503,2013-10-03,Lumpsum,180000.00,Maharashtra,Verified
TXN000123,INV01535,119551,2017-03-17,Lumpsum,15000.00,Maharashtra,Verified
TXN000124,INV01535,125497,2017-09-09,SIP,1000.00,Tamil Nadu,Rejected
TXN000125,INV01535,119551,2025-05-16,Redemption,246000.00,Maharashtra,Pending
TXN000126,INV01535,120503,2022-02-05,SIP,20500.00,West Bengal,Verified
TXN000127,INV01535,125497,2015-01-03,Lumpsum,295000.00,Maharashtra,Verified
TXN000128,INV01536,119551,2016-07-19,Lumpsum,80000.00,Karnataka,Verified
TXN000129,INV01537,119551,2014-10-05,Redemption,118000.00,Gujarat,Verified
TXN000130,INV01537,125497,2021-09-07,SIP,21000.00,Tamil Nadu,Rejected
TXN000131,INV01538,119551,2022-12-03,Lumpsum,45000.00,Rajasthan,Verified
TXN000132,INV01538,119092,2022-04-01,SIP,1000.00,Delhi,Verified
TXN000133,INV01539,119551,2016-05-05,Redemption,261000.00,Karnataka,Verified
TXN000134,INV01540,120841,2020-08-20,Lumpsum,375000.00,Maharashtra,Verified
TXN000135,INV01540,120841,2017-07-27,Lumpsum,235000.00,Gujarat,Verified
TXN000136,INV01541,118632,2026-02-05,Redemption,13000.00,Karnataka,Verified
